2020-03-14-intervencion_presidente,,2020-03-17-Intervencion_presidente_ERTES_conciliacion,,2020-03-19_Rueda_prensa_comite_tecnico,,2020-03-19_Rueda_prensa_min_sanidad_y_vice_segundo,
Veces,Palabra,Veces,Palabra,Veces,Palabra,Veces,Palabra
2,video,2,íntegramente,2,agenda,2,requieren
2,diferencias,2,privados,2,urbana,2,opinión
2,constitución,2,corto,2,agradecimiento,1,francesa
2,autonomías,2,enorme,2,empresas,1,palacio
2,historia,2,desafío,2,puedan,1,moncloa
2,altura,2,enfrentando,2,problema,1,conversamos
2,acciones,2,especialmente,2,unidos,1,estabas
2,principios,2,venimos,2,interpretar,1,ejemplos
2,próximas,2,vulnerable,2,aumentando,1,ciencias
2,gobiernos,2,cinueve,2,pico,1,encaminadas
2,ocurre,2,podía,2,estable,1,combatir
2,estarán,2,prestaciones,2,explicado,1,tratar
2,obligación,2,locales,2,relaciones,1,contener
2,seres,2,garantizaremos,2,garantizar,1,revertir
2,objetivo,2,vivienda,2,s,1,evolución
2,eliminarlo,2,dificultades,2,puntos,1,número
2,sacrificios,2,pago,2,utilizando,1,ganarle
2,médicas,2,deudores,2,incorporar,1,sentirse
2,enfermos,2,desarrollando,2,sobrellevar,1,orgulloso
2,economía,2,entidades,2,misterio,1,responsabilidad
2,pido,2,evitar,2,muchísima,1,disciplina
2,cadena,2,laboral,2,ayudándonos,1,actuando
2,transmisión,2,permitir,2,favor,1,españoles
2,actuamos,2,necesidad,2,respuestas,1,verdaderamente
2,necesita,2,derivadas,2,temas,1,amenaza
2,pase,2,permitan,2,principales,1,excepcional
2,hijos,2,fuerza,2,acusaciones,1,apellido
2,extraordinaria,2,desempleo,2,perfil,1,constatar
2,máximo,2,previa,2,contagiadas,1,imagen
2,profesionales,2,cobro,2,cero,1,considerado
2,jóvenes,2,aprobación,2,regreso,1,mejores
2,cuidando,2,implica,2,capacidad,1,leyenda
2,techo,2,serie,2,deberia,1,fama
2,ayuda,2,cese,2,tomado,1,justificadas
2,oportunidad,2,compatible,2,evitar,1,cuentan
2,protegernos,2,rapidez,2,actuar,1,desempeñando
2,capacidad,2,gustaría,2,toma,1,constituye
2,colaborando,2,tomemos,2,progresivamente,1,esencial
2,europeas,2,despidan,2,intensamente,1,ganado
2,internacionales,2,estás,2,detallados,1,admiración
2,is,2,mantenga,2,siguen,1,gratitud
2,viendo,2,sepan,2,cuidado,1,transmite
2,cuidar,2,vuelva,2,digo,1,entero
2,vida,2,empresario,2,parciales,1,balcones
2,histórica,2,largas,2,fallado,1,anochecer
2,economia,2,mercados,2,menor,1,verde
2,artículo,2,avales,2,formas,1,arma
2,farmacia,2,cero,2,madriz,1,nació
2,cancelación,2,cincuenta,2,llegado,1,serie
2,gustaría,2,incorporamos,2,versiones,1,anunciar
2,habido,2,marcha,2,principio,1,recordado
2,equipo,2,d,2,partidas,1,doctor
2,opinión,2,cuarto,2,contagios,1,fernando
2,contundentes,2,cantidad,2,preguntan,1,simón
2,ciudadania,2,dotar,2,llegan,1,sitio
2,galicia,2,carlos,2,confinamiento,1,cámaras
2,distintas,2,adoptadas,2,efecto,1,alcanzar
2,trasladado,2,empleados,2,extra,1,doblegar
2,creemos,2,asumamos,2,entender,1,vencerlo
2,sufriendo,2,periodo,2,suficiente,1,comenzamos
2,corresponde,2,cara,2,antihigiénico,1,dictó
2,llega,2,arrendatarios,2,presencia,1,ámbito
2,marisol,2,dinámica,2,rápidos,1,consistente
2,transmitiendo,2,siguientes,2,minutos,1,correctamente
2,ciencia,2,puntos,2,aplicar,1,treinta
2,fundamento,2,público,2,cualquiera,1,gradualmente
2,tomado,2,menores,2,pamplona,1,médicos
2,base,2,situaciones,2,desinfección,1,internos
2,homogénea,2,fase,2,aeropuerto,1,quinto
2,málaga,2,salvar,2,olfato,1,habiendo
2,sevilla,2,mañana,2,gusto,1,superado
2,madrid,2,reconoce,2,síntomas,1,pruebas
2,frenarlo,2,manual,2,acerca,1,selectivas
2,organismos,2,infalible,2,científica,1,novia
2,gente,2,nacionales,2,deficientes,1,alcanzado
2,europeo,2,demostrando,2,discapacidades,1,jimmy
2,organización,2,ciudadanas,2,flexibilidad,1,medicina
2,escasos,2,base,2,generalizar,1,kos
2,necesitamos,2,evaluar,2,zona,1,asimismo
2,miembros,2,deja,2,salidas,1,instalaciones
2,ministras,2,bienestar,2,evidentemente,1,áreas
2,sanitario,2,humana,2,vuelos,1,sistemas
2,ejecutivo,2,unidad,2,exteriores,1,única
2,ee,2,vidas,2,facilitar,1,raíz
2,aislamiento,2,generosas,1,competente,1,informan
2,citar,2,largos,1,palacio,1,consagró
2,atiende,2,calma,1,secretario,1,trágicos
2,corazón,2,tengamos,1,posterior,1,this
2,justifica,2,paciencia,1,analiza,1,facciones
2,barcelona,2,resistir,1,recordamos,1,referencia
2,casos,2,muralla,1,formado,1,considerados
2,perro,2,puesto,1,representantes,1,esenciales
2,mary,2,decenas,1,dr,1,creemos
2,canaria,2,rueda,1,ele,1,importadores
2,medicamento,2,agencia,1,capitaneado,1,fabricantes
2,transmisores,2,actuaciones,1,alertas,1,disponen
2,diario,2,fronteras,1,prevista,1,origen
2,concretas,2,tipo,1,ofrecieron,1,balance
2,tipo,2,simon,1,edificio,1,estudiando
2,herramientas,2,redes,1,dejando,1,cartier
2,volveré,2,subir,1,veinte,1,productora
2,agentes,2,tendremos,1,valiosas,1,efectuar
2,sindicatos,2,seamos,1,comenzamos,1,tareas
2,seguir,2,menor,1,inmigración,1,reforzado
2,racialmente,2,propietarios,1,feudo,1,provisiones
2,pico,2,abrir,1,hola,1,demandados
2,cuestiones,2,vigor,1,gestión,1,impide
2,situando,2,teniamos,1,evoluciones,1,autonómicas
2,individuos,2,banco,1,sufriendo,1,decirles
2,dota,2,central,1,plena,1,distribuido
2,suficientes,2,cuestiones,1,dijiste,1,millón
2,d,2,europa,1,ojo,1,re
2,responsables,2,hicimos,1,variaciones,1,distribuyendo
2,extranjero,2,planteamos,1,bailables,1,veintisiete
2,islas,2,sobrevenida,1,diaria,1,abastecimiento
2,aéreo,2,planes,1,tendencia,1,complicado
2,regresa,2,sanitarias,1,seguidos,1,mercados
2,pasear,2,material,1,curado,1,respeta
2,familiar,2,pasará,1,mostrado,1,cohesión
2,castilla,2,efectivamente,1,comportamientos,1,estrictamente
2,segovia,2,economías,1,digamos,1,redistribuir
2,provincia,2,europeas,1,epidemia,1,dúo
2,pasa,2,habló,1,rioja,1,disponible
2,pos,2,petición,1,pequeña,1,abordando
2,visitar,2,dirige,1,león,1,supervisión
2,vivan,2,hablo,1,marcadas,1,tipos
1,comparezco,2,consejeros,1,brote,1,ritmo
1,implicada,2,capaces,1,asociado,1,eficiencia
1,enfrenta,2,trescientos,1,eventos,1,haremos
1,requiere,2,número,1,reunión,1,información
1,extraordinarias,2,derrota,1,masivo,1,recabar
1,supone,2,allá,1,evento,1,datos
1,serio,2,inédito,1,masas,1,elaborar
1,perjuicio,2,quepa,1,obtenerlo,1,informes
1,bienestar,2,garantía,1,aviación,1,pertinentes
1,excelencia,2,vida,1,importados,1,extraoficialmente
1,rigor,2,cotidianidad,1,mató,1,diligentemente
1,científico,2,pueblo,1,nissan,1,adoptamos
1,inicio,2,ejemplar,1,tardíamente,1,adoptaremos
1,fases,2,polo,1,sustanciales,1,edo
1,cambiantes,2,entender,1,porcentajes,1,importe
1,estábamos,2,vista,1,hospitalizados,1,global
1,reforzada,2,necesarias,1,música,1,transfer
1,criterios,2,atajar,1,superiores,1,diremos
1,conocimiento,2,diputados,1,tarea,1,gastos
